grid_id_0.25deg,lat_0.25deg,lng_0.25deg,GHM_0.25deg,viirs_dnb_avg_rad_0.25deg,viirs_dnb_cf_cvg_0.25deg,world_pop_density_0.25deg
9175,-11.5,130,,0.120740269,7.982622918,
9310,-11.5,130.25,0.030825085,0.14886341,8.961387024,0.057303407
9445,-11.5,130.5,0.035692505,0.152509157,9.200605396,0.741173497
9580,-11.5,130.75,0.036223008,0.149473522,9.269226481,0.799425532
9715,-11.5,131,0.028812074,0.149287971,9.182253726,0.029434648
9850,-11.5,131.25,0.025988274,0.148937851,8.952667193,0.029434648
9985,-11.5,131.5,0.025218709,0.155292622,8.517222889,0.029434648
10120,-11.5,131.75,,0.12148427,8.289882714,
10255,-11.5,132,6.85E-04,0.149715045,8.171899787,0.006116449
10390,-11.5,132.25,5.56E-04,0.15315244,8.551173777,0.006116449
10525,-11.5,132.5,0.003512421,0.148628846,9.113656397,0.006088742
10660,-11.5,132.75,0.018754119,0.146603559,9.360523639,0.006116449
10795,-11.5,133,0.015185888,0.149158214,9.474388773,0.006116449
10930,-11.5,133.25,0.06116497,0.137555515,8.47311828,0.078314245
11065,-11.5,133.5,0.011835115,0.146928709,9.086153281,0.006116449
11200,-11.5,133.75,,0.119361109,7.700749278,
11335,-11.5,134,,0.119708227,8.299671595,
11470,-11.5,134.25,,0.120247628,8.247266813,
11605,-11.5,134.5,,0.118921989,8.365115445,
11740,-11.5,134.75,,0.121101183,8.975376362,
11875,-11.5,135,,0.12003275,9.078324874,
12010,-11.5,135.25,,0.118200364,8.978691306,
12145,-11.5,135.5,,0.117462714,8.70125433,
12280,-11.5,135.75,,0.119064319,8.821232658,
12415,-11.5,136,0.007687301,0.118742615,8.526154962,0.10533379
12550,-11.5,136.25,0.005718952,0.139275883,9.495315483,0.105333792
12685,-11.5,136.5,0.006175501,0.142132328,9.111679298,0.105333792
12820,-11.5,136.75,,0.112745647,7.571820452,
12955,-11.5,137,,0.111333594,8.09482632,
13090,-11.5,137.25,,0.110676435,8.348581634,
13225,-11.5,137.5,,0.11291551,8.083501485,
13360,-11.5,137.75,,0.113549289,7.627116604,
13495,-11.5,138,,0.113576663,7.677140849,
13630,-11.5,138.25,,0.116453812,7.464798268,
13765,-11.5,138.5,,0.118760489,7.193156526,
13900,-11.5,138.75,,0.11702822,6.957374244,
14035,-11.5,139,,0.115973164,6.169480394,
14170,-11.5,139.25,,0.117373571,5.895499804,
14305,-11.5,139.5,,0.112471226,5.710271513,
14440,-11.5,139.75,,0.11372062,5.585748577,
14575,-11.5,140,,0.11559904,5.52561525,
14710,-11.5,140.25,,0.116296276,5.805085089,
14845,-11.5,140.5,,0.119419733,5.947285753,
14980,-11.5,140.75,,0.11699184,6.272182101,
15115,-11.5,141,,0.114261333,6.773230318,
15250,-11.5,141.25,,0.113714575,7.120041725,
15385,-11.5,141.5,,0.115806939,7.070168405,
15520,-11.5,141.75,,0.116041381,6.873145101,
15655,-11.5,142,0.008534733,0.138674383,8.70941014,0.002982439
130,-11.5,113.25,,0.14686053,9.144797426,
265,-11.5,113.5,,0.147242418,9.158132856,
400,-11.5,113.75,,0.145647587,9.298505695,
535,-11.5,114,,0.145648421,9.413205669,
670,-11.5,114.25,,0.1444082,9.953190778,
805,-11.5,114.5,,0.14435137,9.61356756,
940,-11.5,114.75,,0.142985272,9.829139354,
1075,-11.5,115,,0.140163177,9.830333414,
1210,-11.5,115.25,,0.141213369,9.826485658,
1345,-11.5,115.5,,0.141883187,9.688291043,
1480,-11.5,115.75,,0.144443009,10.04878586,
1615,-11.5,116,,0.140299802,9.906400419,
1750,-11.5,116.25,,0.140906612,9.773964361,
1885,-11.5,116.5,,0.142886763,9.646862684,
2020,-11.5,116.75,,0.145317117,9.634285414,
